#seq	f_pos	f_neg	mean_hydropathy mean_net_charge kappa
bioF.txt 0.091146 0.096354 0.491551 0.001965 0.176544
bioH.txt 0.089844 0.097656 0.504297 0.000325 0.168234
birA.txt 0.118380 0.115265 0.496608 0.004567 0.152758
bisC.txt 0.082368 0.111969 0.466738 0.021889 0.162490
blc.txt 0.118644 0.101695 0.476208 0.019339 0.081050
blr.txt 0.048780 0.073171 0.540108 0.012634 0.247897
bluF.txt 0.101737 0.143921 0.496526 0.037116 0.165474
bluR.txt 0.131687 0.127572 0.455007 0.010007 0.208800
bolA.txt 0.114286 0.133333 0.478836 0.007796 0.158970
borD.txt 0.103093 0.051546 0.522795 0.055503 0.123069
brnQ.txt 0.043280 0.036446 0.610453 0.009770 0.171489
bsmA.txt 0.119266 0.082569 0.493884 0.038616 0.226560
bssR.txt 0.118110 0.133858 0.473491 0.001270 0.154998
bssS.txt 0.083333 0.154762 0.441534 0.062745 0.144066
btuB.txt 0.084691 0.109121 0.440662 0.020173 0.157490
btuC.txt 0.061350 0.033742 0.611929 0.029093 0.185031
btuD.txt 0.092369 0.080321 0.485319 0.021614 0.159864
btuE.txt 0.098361 0.136612 0.485489 0.037382 0.190080
btuF.txt 0.097744 0.086466 0.486675 0.011070 0.138860
btuR.txt 0.122449 0.137755 0.451134 0.008193 0.161375
cadA.txt 0.102098 0.123077 0.471142 0.013183 0.140329
cadB.txt 0.045045 0.036036 0.589414 0.012230 0.223628
cadC.txt 0.089844 0.109375 0.478125 0.015451 0.192229
caiA.txt 0.110526 0.139474 0.473801 0.026918 0.168261
caiB.txt 0.086420 0.123457 0.480960 0.032176 0.157202
caiC.txt 0.106383 0.125725 0.480550 0.015710 0.176538
caiD.txt 0.099617 0.137931 0.500851 0.035579 0.155938
caiE.txt 0.091837 0.107143 0.497449 0.004841 0.186162
caiF.txt 0.160305 0.129771 0.464461 0.033326 0.180604
caiT.txt 0.065476 0.055556 0.580159 0.010679 0.149119
can.txt 0.100000 0.122727 0.474293 0.010252 0.182537
carA.txt 0.094241 0.117801 0.477894 0.014398 0.189012
carB.txt 0.116496 0.144455 0.482003 0.024922 0.155502
cas1.txt 0.121311 0.108197 0.502623 0.015903 0.142840
cas2.txt 0.095745 0.117021 0.530969 0.021164 0.253092
cas3.txt 0.088964 0.120495 0.472623 0.025026 0.209962
casA.txt 0.099602 0.089641 0.478552 0.016019 0.153501
casB.txt 0.150000 0.118750 0.443194 0.035450 0.165280
casC.txt 0.104683 0.118457 0.473186 0.008604 0.178252
casD.txt 0.111607 0.111607 0.468651 0.005808 0.150349
casE.txt 0.130653 0.085427 0.483026 0.050652 0.153753
cbeA.txt 0.081967 0.114754 0.465027 0.023911 0.158324
cbl.txt 0.107595 0.139241 0.477954 0.026313 0.213463
cbpA.txt 0.127451 0.137255 0.434168 0.002686 0.215371
cbpM.txt 0.089109 0.148515 0.509571 0.047662 0.277223
cbrA.txt 0.138418 0.090395 0.478939 0.054100 0.163768
cbrB.txt 0.070968 0.058065 0.617921 0.018330 0.271115
cbrC.txt 0.082051 0.189744 0.440456 0.102231 0.241522
cbtA.txt 0.112903 0.104839 0.477778 0.011493 0.147415
cca.txt 0.123786 0.138350 0.465264 0.006679 0.157050
ccmA.txt 0.096618 0.101449 0.474235 0.003082 0.179142
ccmB.txt 0.050000 0.050000 0.626010 0.003310 0.196094
ccmC.txt 0.085714 0.036735 0.565079 0.053747 0.177163
ccmD.txt 0.086957 0.043478 0.558132 0.050485 0.219921
ccmE.txt 0.119497 0.125786 0.469392 0.001897 0.178559
ccmF.txt 0.078825 0.057187 0.571252 0.024437 0.171536
ccmG.txt 0.108108 0.118919 0.479099 0.008513 0.172701
ccmH.txt 0.108571 0.108571 0.481238 0.001243 0.159189
cdaR.txt 0.122078 0.129870 0.473997 0.002863 0.154906
cdd.txt 0.071429 0.102041 0.500113 0.023736 0.147236
cdh.txt 0.111554 0.099602 0.466268 0.017257 0.175779
cdsA.txt 0.066667 0.045614 0.600390 0.026515 0.200409
cedA.txt 0.150000 0.112500 0.431667 0.040563 0.166769
cfa.txt 0.112565 0.130890 0.465212 0.013889 0.155800
chaA.txt 0.040984 0.054645 0.600850 0.005849 0.304956
chaB.txt 0.197368 0.210526 0.335819 0.002652 0.065058
chaC.txt 0.096639 0.121849 0.491550 0.023004 0.205561
chbA.txt 0.094828 0.163793 0.490326 0.060579 0.234056
chbB.txt 0.113208 0.103774 0.527883 0.011404 0.167647
chbC.txt 0.048673 0.050885 0.592035 0.000080 0.190519
chbF.txt 0.115556 0.133333 0.488395 0.011276 0.132811
chbG.txt 0.088353 0.120482 0.494288 0.023730 0.187024
chbR.txt 0.114286 0.107143 0.460000 0.013914 0.196785
cheA.txt 0.093272 0.145260 0.490299 0.047980 0.178587
cheB.txt 0.106017 0.100287 0.505540 0.011713 0.152728
cheR.txt 0.118881 0.101399 0.462898 0.026560 0.176975
cheW.txt 0.071856 0.137725 0.535795 0.065775 0.178242
cheY.txt 0.116279 0.147287 0.503015 0.030949 0.196506
cheZ.txt 0.093458 0.172897 0.457684 0.075937 0.145215
chiA.txt 0.082497 0.096990 0.443627 0.012255 0.158608
chiP.txt 0.091880 0.130342 0.443162 0.034857 0.143159
cho.txt 0.138983 0.111864 0.463164 0.032762 0.215225
chpB.txt 0.086207 0.120690 0.519636 0.026364 0.247137
chpS.txt 0.084337 0.120482 0.469210 0.036431 0.287904
cirA.txt 0.108597 0.137255 0.433367 0.025531 0.134819
citC.txt 0.116477 0.107955 0.484249 0.015375 0.142327
citD.txt 0.102041 0.142857 0.503061 0.041349 0.168429
citE.txt 0.122517 0.145695 0.481641 0.018500 0.153206
citF.txt 0.103922 0.119608 0.489586 0.009497 0.134203
citG.txt 0.085616 0.099315 0.502511 0.009428 0.154766
citT.txt 0.055441 0.045175 0.596966 0.012902 0.169898
citX.txt 0.109290 0.114754 0.484942 0.005771 0.182664
clcA.txt 0.076110 0.059197 0.570613 0.019787 0.181853
clcB.txt 0.047847 0.040670 0.588251 0.011776 0.205566
clpA.txt 0.124011 0.142480 0.466901 0.011852 0.155579
clpB.txt 0.128355 0.157526 0.460275 0.024410 0.148361
clpP.txt 0.096618 0.125604 0.482931 0.022243 0.147831
clpS.txt 0.113208 0.160377 0.479979 0.043171 0.153665
clpX.txt 0.122642 0.153302 0.473506 0.027137 0.175061
clsA.txt 0.104938 0.098765 0.521125 0.010843 0.196334
clsB.txt 0.130751 0.125908 0.456497 0.013488 0.204905
clsC.txt 0.131078 0.116279 0.481912 0.020745 0.202559
cmk.txt 0.114537 0.140969 0.499951 0.020108 0.156640
cmoA.txt 0.097166 0.137652 0.483851 0.032138 0.136818
cmoB.txt 0.108359 0.123839 0.473168 0.007520 0.178582
cmtA.txt 0.077922 0.067100 0.560510 0.015305 0.195737
cmtB.txt 0.061224 0.142857 0.500983 0.077069 0.171062
cnu.txt 0.126761 0.140845 0.447731 0.003907 0.222739
coaA.txt 0.117089 0.126582 0.472504 0.002607 0.183509
coaD.txt 0.088050 0.100629 0.500699 0.001082 0.202607
coaE.txt 0.092233 0.116505 0.487163 0.016035 0.175400
cobB.txt 0.129032 0.125448 0.460653 0.013557 0.213392
cobC.txt 0.078818 0.113300 0.476245 0.021812 0.154515
cobS.txt 0.080972 0.064777 0.596491 0.020602 0.177300
cobT.txt 0.066852 0.091922 0.538038 0.021515 0.166790
cobU.txt 0.093923 0.138122 0.485021 0.035311 0.194401
codA.txt 0.081967 0.114754 0.475332 0.022245 0.197917
codB.txt 0.040573 0.031026 0.604747 0.012259 0.232661
cof.txt 0.077206 0.121324 0.498938 0.031584 0.147648
comR.txt 0.119048 0.123810 0.471799 0.000157 0.144936
copA.txt 0.080336 0.101918 0.522742 0.017709 0.178439
corA.txt 0.098101 0.167722 0.482700 0.065780 0.262078
cpdA.txt 0.069091 0.123636 0.477414 0.039285 0.169556
cpdB.txt 0.105100 0.125193 0.468298 0.016097 0.126284
cpsB.txt 0.104603 0.146444 0.480776 0.035241 0.160637
cpsG.txt 0.118421 0.142544 0.474829 0.019119 0.126253
cptA.txt 0.140741 0.088889 0.493498 0.055243 0.183414
cpxA.txt 0.113786 0.129103 0.470654 0.012073 0.178055
cpxP.txt 0.108434 0.120482 0.412517 0.001815 0.153822
cpxR.txt 0.120690 0.155172 0.461734 0.027134 0.201208
cra.txt 0.131737 0.137725 0.461510 0.000427 0.166488
crcB.txt 0.039370 0.023622 0.607174 0.019308 0.234559
creA.txt 0.133758 0.108280 0.496461 0.029664 0.221911
creB.txt 0.126638 0.135371 0.485347 0.004724 0.229103
creC.txt 0.111814 0.101266 0.500703 0.014593 0.143409
creD.txt 0.077778 0.095556 0.523556 0.014065 0.144552
crfC.txt 0.094340 0.123989 0.467490 0.022490 0.152281
crl.txt 0.157895 0.165414 0.443191 0.002719 0.107901
crp.txt 0.123810 0.114286 0.476667 0.015982 0.175368
crr.txt 0.118343 0.177515 0.506312 0.056241 0.147198
csdA.txt 0.074813 0.104738 0.504572 0.024182 0.179356
csdE.txt 0.095238 0.102041 0.490476 0.003685 0.147648
csgA.txt 0.039735 0.066225 0.456144 0.021706 0.200741
csgB.txt 0.086093 0.052980 0.474540 0.033079 0.193857
csgC.txt 0.072727 0.072727 0.484343 0.001649 0.121428
csgD.txt 0.120370 0.097222 0.453858 0.034134 0.172981
csgE.txt 0.093023 0.131783 0.485530 0.031223 0.178905
csgF.txt 0.065217 0.072464 0.459662 0.005491 0.194282
csgG.txt 0.090253 0.090253 0.497272 0.001545 0.136373
csiD.txt 0.101538 0.126154 0.458291 0.016523 0.192375
csiE.txt 0.107981 0.105634 0.474309 0.009174 0.208483
csiR.txt 0.118182 0.131818 0.485859 0.006184 0.160861
cspA.txt 0.100000 0.114286 0.472063 0.010861 0.136489
cspB.txt 0.098592 0.098592 0.489984 0.003380 0.106572
cspC.txt 0.101449 0.101449 0.478905 0.003488 0.212727
cspD.txt 0.081081 0.108108 0.478078 0.017673 0.274705
cspE.txt 0.115942 0.101449 0.476329 0.017987 0.174250
cspF.txt 0.142857 0.100000 0.482381 0.045882 0.152895
cspG.txt 0.100000 0.114286 0.459683 0.010808 0.124180
cspH.txt 0.171429 0.085714 0.482222 0.088713 0.110875
cspI.txt 0.100000 0.114286 0.472381 0.007397 0.157396
csrA.txt 0.131148 0.114754 0.471403 0.020393 0.164631
csrD.txt 0.109907 0.102167 0.478672 0.013511 0.164225
cstA.txt 0.057061 0.054208 0.586908 0.005587 0.174882
cueO.txt 0.085271 0.100775 0.481718 0.004935 0.178286
cueR.txt 0.118519 0.148148 0.435720 0.021532 0.165754
curA.txt 0.101449 0.127536 0.470274 0.020211 0.213361
cusA.txt 0.089780 0.098376 0.531402 0.004940 0.159892
cusB.txt 0.108108 0.113022 0.490472 0.003688 0.152258
cusC.txt 0.083151 0.087527 0.474423 0.002962 0.139920
cusF.txt 0.090909 0.090909 0.484545 0.010936 0.143771
cusR.txt 0.118943 0.140969 0.508370 0.018783 0.217387
cusS.txt 0.097917 0.116667 0.501343 0.010303 0.145712
cutA.txt 0.062500 0.125000 0.497123 0.054693 0.161430
cutC.txt 0.095890 0.109589 0.489878 0.002330 0.148353
cvpA.txt 0.061728 0.067901 0.606790 0.005232 0.159188
cvrA.txt 0.065744 0.083045 0.574202 0.015329 0.156554
